1227
qstr_You_are_too_tired_to You_are_too_tired_to_channel...
qstr_When_you_were_quite_ When_you_were_quite_young,_it_was_discovered_that_you_could_channel._Your_parents_decided_that_it_would_be_best_if_you_received_proper_training_with_the_Aes_Sedai_in_Tar_Valon._You_vividly_remember_the_day_when_you_left_your_former_life_behind_and_started_down_the_long_road_of_training_and_discovery.
qstr_One_day_when_you_wer One_day,_when_you_were_around_fourteen_years_old,_you_fell_through_the_ice_in_the_village_pond._When_you_came_to_the_surface,_to_your_horror_your_head_hit_ice_instead_of_air._You_frantically_looked_for_the_hole,_but_the_freezing_cold_started_to_disorient_you._As_you_ran_out_of_air,_you_began_to_panic._Just_before_you_reached_you_passed_out,_the_ice_suddenly_broke_above_you._You_surfaced_and_called_for_help._The_next_week_was_spent_recovering._But_a_lingering_sickness_set_in_that_finally_broke_after_several_intense_days._In_the_months_to_come,_you_slowly_realized_that_you_had_channeled._But,_you_kept_this_secret_for_fear_of_what_your_friends_and_family_would_think.
qstr_You_spent_your_child You_spent_your_childhood_in_the_forests._Admittedly,_much_of_it_was_just_spent_adventuring,_but_you_were_also_expected_by_your_family_to_bring_home_something_for_dinner._You_spent_many_hours_tracking_and_stalking_prey,_and_of_course,_when_the_time_was_right,_you_had_to_hit_what_you_were_aiming_at.
qstr_As_a_{reg3?girl:boy}_ As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_spent_most_of_your_time_helping_out_on_the_family_farm._Countless_hours_were_spent_with_good_honest_labor._It_wasn't_all_work_though._You_witnessed_the_miracle_of_birth_in_the_spring_and_watched_the_fields_whiten_for_harvest_in_the_fall._The_occasional_wolf_that_tried_to_prey_on_the_livestock_was_put_to_flight_with_a_hail_of_stones_from_your_sling_and_in_later_years,_an_arrow_from_your_bow.
qstr_As_a_{reg3?girl:boy}_g As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_apprenticed_with_a_local_craftsman_to_learn_a_trade._After_years_of_hard_work_and_study_under_your_new_master,_he_promoted_you_to_journeyman_and_employed_you_as_a_fully_paid_craftsman_for_as_long_as_you_wished_to_stay.
qstr_When_you_were_young_ When_you_were_young,_the_Village_Wisdom_took_you_as_her_apprentice._Your_quick_memory_helped_you_learn_the_many_herbs_used_to_make_remedies._But_as_you_grew_into_your_teens,_you_learned_that_the_Wisdom's_duties_went_far_beyond_tending_the_sick._A_Wisdom_was_also_expected_to_provide_other_answers_such_as_when_to_plant_crops,_or_how_the_weather_would_be_that_year._You_knew_that_if_you_worked_hard_in_your_training,_you_too_would_grow_to_be_a_respected_member_of_your_community.
qstr_An_uxpected_death_in An_uxpected_death_in_the_family_placed_the_burden_of_leadership_upon_your_shoulders._You_were_named_the_{reg3?lady:lord}_of_your_house,_and_immediately_started_representing_your_subjects_in_the_courts_of_the_land._The_burden_of_this_added_responsibility_helped_shape_you_into_a_{reg3?woman:man}_who_was_greatly_respected_by_your_peers.
qstr_Your_quick_memory_an Your_quick_memory_and_natural_agility_helped_make_the_decision_to_become_a_gleeman_much_simpler._Though_you_did_spend_a_lot_of_time_on_the_road,_when_you_made_it_into_town,_it_was_guaranteed_that_you_were_the_center_of_attention._A_tale_or_two_and_then_some_music_or_juggling_earned_you_a_meal_and_some_silver_besides.
qstr_Battle_was_in_your_b Battle_was_in_your_blood,_but_you_also_felt_a_strong_desire_to_serve_a_greater_purpose._You_saw_the_evil_growing_in_the_world_and_were_drawn_towards_the_White_Tower,_seeing_the_Aes_Sedai_as_a_bastian_against_the_Shadow._You_talked_to_one_of_the_warders_and_were_surprised_to_learn_that_if_you_could_keep_up,_you_would_be_allowed_to_train_with_them._The_next_four_years_were_spent_transforming_your_body_into_a_weapon._During_this_time_you_also_became_aquainted_one_of_the_accepted._A_year_later,_when_she_was_raised_to_full_Aes_Sedai,_you_chose_to_become_her_warder.
qstr_Life_as_a_novice_was Life_as_a_novice_was_not_easy_by_any_means,_but_when_you_became_an_Accepted,_you_learned_what_training_really_meant._Still,_you_were_allowed_some_freedoms_and_were_also_able_to_choose_more_of_the_topics_you_studied._You_became_proficient_with_many_of_the_weaves_taught_by_the_Sisters_and_also_expanded_your_limits_with_the_One_Power._In_the_front_of_your_mind_was_the_thought_that_you_could_do_this._One_day,_you_would_become_an_Aes_Sedai.
qstr_You_knew_you_could_c You_knew_you_could_channel,_but_you_did_everything_in_your_power_to_keep_that_secret._There_were_many_groups_in_the_land_who_would_kill_you_out_of_hand_for_what_you_could_do._However,_when_you_were_alone,_or_when_no_one_would_notice,_you_used_your_new_abilities_in_ways_to_help_others._Gradually,_your_skills_grew_and_you_became_quite_adept_at_weaving_the_flows...
qstr_You_had_always_been_ You_had_always_been_ambitious,_and_when_you_told_your_parents_you_wanted_to_be_a_successful_merchant,_they_weren't_surprised._The_first_items_you_sold_were_two_chairs_and_a_table_that_you_made_yourself._You_used_the_profit_to_buy_some_furs_from_one_of_your_neighbors._Then_you_took_to_the_road._Over_the_next_few_years,_your_operation_grew_from_a_pack_on_your_back_to_several_mules_and_a_wagon._Later,_you_hired_several_guards_and_drivers_to_help_out._You_were_always_quick_to_catch_wind_of_the_profitable_sales,_and_rewarded_your_partners_as_well.
qstr_You_were_too_young_i You_were_too_young_in_the_eyes_of_some,_but_never_the_less,_when_the_old_wisdom_died,_she_named_you_as_her_replacement._The_villagers_didn't_doubt_your_knowledge_of_herbs_and_remedies,_but_you_could_tell_they_were_just_a_little_hesitant._You_were_detemined_to_prove_yourself,_and_over_the_years_became_a_respected_healer.
qstr_Working_hard_was_nev Working_hard_was_never_something_you_enjoyed_while_growing_up._Or_maybe_it_was_just_the_burden_of_playing_by_the_rules._But,_you_were_interested_in_money,_and_had_a_knack_for_finding_out_who_needed_what_and_what_they_were_willing_to_pay._Sure_you_sometimes_didn't_play_tarifs_on_the_goods_you_sold,_but_who_were_the_greedy_nobles_to_tax_every_transaction?_Thankfully,_a_quick_mind_and_an_eye_that_could_spot_trouble_a_mile_away_kept_you_one_step_ahead_of_the_authoritied.
qstr_You_could_have_helpe You_could_have_helped_out_with_the_family_business,_but_the_life_your_father_led_didn't_seem_that_attractive_to_you._You_wanted_adventure,_but_adventure_cost_money_you_didn't_have._When_a_merchant's_train_stopped_in_town,_the_master_of_the_guard_said_he_was_looking_for_a_few_strong_lads_to_help_out._You_didn't_have_as_much_experience_as_some,_but_he_was_willing_to_let_you_join._The_pay_was_good_and_you_quickly_learned_how_to_handle_yourself_in_a_fight._A_few_years,_and_a_few_scars_later,_you_had_become_one_of_the_merchant's_most_trusted_guards.
qstr_You_were_in_your_upp You_were_in_your_upper_teens_when_the_Hunt_for_the_Horn_was_called._Despite_your_parents'_discouragement,_you_packed_up_what_little_you_had_and_snuck_off_with_a_group_of_friends._At_first,_you_didn't_find_much_besides_hunger_and_a_lack_of_sleep._You_got_robbed_once,_and_were_beaten_several_times._However,_you_persevered_and_soon_found_you_were_able_to_handle_yourself._Then_you_found_a_lead._The_Horn_was_reported_to_have_been_seen_in_a_village_in_southern_Shienar._After_a_few_months_of_travel_and_then_a_few_months_more_of_searching,_you_decided_that_the_lead_was_a_fake._But_you_weren't_discouraged._The_Hunt_was_the_grandest_adventure_of_all_time.
qstr_It_was_not_expected_ It_was_not_expected,_but_you_were_named_the_heir_of_a_noble_house._Many_thought_this_was_a_poor_choice,_since_you_were_not_of_noble_birth,_but_you_soon_taught_them_respect._From_a_young_age,_you_strengthened_the_position_of_your_house_and_gained_respect_in_the_eyes_of_your_superiors.
qstr_A_false_Dragon_was_o A_false_Dragon_was_one_of_the_things_most_feared_in_your_world._Tales_of_men_who_rent_the_earth_and_rained_lightning_from_the_skies_had_been_among_your_favorite_camp_stories._However,_when_these_tales_became_real,_you_volunteered_to_join_the_force_that_set_out_to_stop_this_'Dragon'._This_false_Dragon_could_channel_and_had_come_out_ahead_in_many_skirmishes._You_found_a_weakness_in_his_strategy_in_that_he_would_often_rush_to_the_front_if_his_men_were_being_pressed._On_one_such_occasion,_when_he_moved_forward_to_rally_his_troops,_you_shot_his_horse,_causing_him_to_fall_and_hit_his_head._Your_company_then_charged_and_captured_the_false_Dragon_while_he_was_unconsious._The_false_Dragon_was_then_transfered_to_the_Aes_Sedai_to_be_safely_constrained,_but_all_the_land_learned_of_what_you_had_done.
qstr_In_order_to_become_a In_order_to_become_a_true_warrior,_you_had_been_taught_that_you_must_learn_to_master_both_your_actions_and_your_emotions._Neither_fear_or_anger_would_help_you_during_battle._You_trained_under_one_of_the_most_noted_Blademasters_and_learned_to_feed_all_your_concerns,_emotions,_and_thoughts_into_the_flame_in_your_mind._You_then_entered_the_void_and_became_one_with_your_oponents.
qstr_While_accompanying_a While_accompanying_a_merchant_train_into_the_Aiel_Waste,_you_were_bitten_by_a_poisonious_snake._It_was_thought_that_you_were_dead,_so_the_merchants_left_you_behind_in_a_small_hollow_in_the_rocks._A_group_of_Aiel_scouts_found_you,_and_decided_that_any_Wetlander_who_survived_that_snake_bite_should_be_allowed_to_live._They_let_you_recover_for_a_few_days_and_then_sent_you_off_with_a_hide_of_water._It_took_you_a_whole_week,_but_you_were_able_to_follow_the_animal_droppings_and_other_sign_left_by_the_merchant_train_back_to_the_Jengai_Pass._The_merchant_was_horrified_by_what_had_been_done_and_rewarded_you_with_triple_the_pay_you_were_due.
qstr_You_are_not_sure_whe You_are_not_sure_whether_you_learned_or_if_it_just_happened,_but_in_your_early_20s,_you_first_heard_the_voices_in_your_head._Slowly_you_pieced_together_that_these_voices_weren't_madness._Then_came_the_dreams._Dreams_with_wolves_in_them._Your_senses_became_heightened,_and_you_began_to_spend_more_and_more_time_out_in_the_wilds._Soon_you_found_a_small_pack_who_let_you_join_them_and_taught_you_more_about_your_new_life._But,_you_were_insistent_that_you_also_keep_a_foot_in_the_world_of_humans._So,_after_a_year_with_the_wolves,_you_moved_on.
qstr_Having_trained_since Having_trained_since_your_youth,_you_were_not_surprised_when_you_were_called_to_join_the_forces_marching_to_Tarwin's_Gap._War_was_the_life_of_the_Bordermen,_and_the_Trollocs_would_come_whether_the_armies_were_there_to_meet_them_or_not._You_were_close_to_the_marshall_when_his_horse_broke_a_leg_in_a_small_hole._He_went_down_and_the_trollocs_rushed_in._You_dismounted_and_rushed_to_meet_them._Together,_you_and_the_marshall_fought_off_eight_of_the_beasts._Wounded_and_tired,_you_looked_up_to_see_another_wave_of_trollocs_cresting_the_rise._By_now_the_several_of_the_honor_guard_were_rushing_to_your_aid,_but_you_weren't_taking_any_chances._You_gave_the_marshall_your_horse,_and_turned_to_meet_the_charging_trollocs._The_heavy_lancers_and_trollocs_clashed_just_paces_in_front_of_you._Seconds_more_and_you_would_have_surely_died._After_the_battle,_you_were_honored_for_your_brave_sacrifice.
qstr_Early_on_you_were_ma Early_on,_you_were_marked_as_being_a_promising_channeler._You_were_diligent_in_your_studies,_and_never_balked_at_working_harder_than_everyone_else._Even_so,_when_you_discovered_a_weave_that_allowed_you_to_lift_yourself,_even_your_teachers_were_doubtful._Unfortunately,_using_the_weave_caused_intense_headaches_for_several_hours,_so_you_were_advised_to_avoid_it's_use._You_agreed_but_determined_in_your_mind_to_continue_researching_those_things_which_were_thought_to_be_impossible.
qstr_Due_to_your_ability_ Due_to_your_ability_to_predict_trade_patterns_and_your_superior_management_of_logistics,_you_became_one_of_the_wealthiest_merchants_in_Andor._Not_many_people_knew_it,_but_you_were_one_of_the_ten_wealthiest_people_in_the_land._You_knew_that_gold_had_a_voice_of_it's_own,_and_were_not_afraid_to_use_it._Securing_your_wealth,_required_employing_a_band_of_elite_guards_whose_loyalty_was_without_question.
qstr_As_a_thief_your_main As_a_thief,_your_main_worry_was_staying_out_of_the_noose._But,_the_thrill_of_the_next_big_heist_was_always_to_much_to_pass_by._At_the_top_of_the_list,_by_far,_was_when_you_snuck_into_the_palace_in_Illian._After_several_hours_of_shadowing_guards,_you_made_it_to_the_King's_chambers._There_on_his_bedstand_was_the_prize._The_Laurel_Crown._In_the_morning,_the_palace,_and_then_the_city_was_bustling._Guards_searched_for_weeks,_but_eventually_gave_up._A_month_later,_it_was_proclaimed_that_the_crown_had_been_found,_but_you_and_your_friends_knew_that_a_replacement_had_been_made._The_pleasure_of_seeing_the_powers_of_Illian_confounded_was_worth_more_that_your_weight_in_gold.
qstr_For_reasons_that_are For_reasons_that_are_best_kept_quiet,_you_once_traveled_to_the_dark_slopes_of_Shayol_Ghul._There_you_had_a_most_interesting_experience._Secrets_were_revealed_to_you_of_how_the_Great_Lord_was_planning_to_destroy_the_Light._The_Myrddraal_there_were_shown_your_face_and_told_to_be_sure_their_trollocs_did_not_hurt_you._Except_as_punishment_for_betrayal_of_course._When_you_left_the_lands_of_the_Blight,_something_about_you_had_changed...
qstr_Back_to_the_beginnin Back_to_the_beginning...
qstr_View_next_segment... View_next_segment...
qstr_{!}__ {!}_-
qstr_{!}_+ {!}_+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_^Wage_debt:___{reg6} ^Wage_debt:__-{reg6}
qstr_{!}{s1}^{s4}:_{reg4} {!}{s1}^{s4}:_{reg4}
qstr_{!}DEBUG____{s1}^NPC {!}DEBUG_--_{s1}^NPC_in_rejoin_queue:_{s5}^
qstr_{!}DEBUG:_{s4}_curre {!}DEBUG:_{s4}_current_mission:_{reg2},_days_on_mission:_{reg3},_prisoner:_{reg4},_pphistory:_{reg5}
qstr_Appoint_next_marshal Appoint_next_marshal
qstr_Award_{s12}_as_fief Award_{s12}_as_fief
qstr_{!}Error__{reg3}_ {!}Error_({reg3})
qstr_{!}{s10}^Faction_pol {!}{s10}^Faction_political_issue:_{s11}
qstr_{!}{s10}__on_agenda_ {!}{s10}_(on_agenda_{reg4}_hours)
qstr_{!}Defending {!}Defending
qstr_{!}Gathering_army {!}Gathering_army
qstr_{!}Besieging_{s11} {!}Besieging_{s11}
qstr_{!}Raiding_{s11} {!}Raiding_{s11}
qstr_{!}Attacking_enemies {!}Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{!}{s12}__controvers {!}{s12}_(controversy:_{reg21})
qstr_{!}{s12}^Screening_p {!}{s12}^Screening_party:_{s38}
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_You_are_currently_re You_are_currently_reading_{s8}.
qstr_You_are_not_reading_ You_are_not_reading_any_books.
qstr_none none
qstr_{s5}_and_{s6} {s5}_and_{s6}
qstr_{!}{s5}_{s6} {!}{s5},_{s6}
qstr_Your_estates_are:_{s Your_estates_are:_{s8}.^{s9}
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+30^Leadership:_{s2}{reg1}^Charisma:_{s3}{reg2}^Renown:_{s4}{reg3}^TOTAL:__{reg5}
qstr_{!}{s2}^{s4}:_{reg1} {!}{s2}^{s4}:_{reg1}_({s3})
qstr_Your_relation_with_t Your_relation_with_the_factions_are:^{s2}
qstr_Player_renown_is_inc Player_renown_is_increased_by_100._
qstr_Player_honor_is_incr Player_honor_is_increased_by_1_and_it_is_now_{reg7}.
qstr_{reg1}_{s1}_{reg2?ac {reg1}_{s1}_{reg2?accept:accepts}_the_offer.
qstr_No_one_accepts_the_o No_one_accepts_the_offer.
qstr_You_start_reading_{s You_start_reading_{s2}._After_a_few_pages,_you_feel_you_could_learn_a_lot_from_this_book._You_decide_to_keep_it_close_by_and_read_whenever_you_have_the_time.
qstr_You_flip_through_the You_flip_through_the_pages_of_{s2},_but_you_find_the_text_confusing_and_difficult_to_follow._Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_Villagers Villagers
qstr_You_have_encountered You_have_encountered_{s1}.
qstr_You_have_engaged_{s1 You_have_engaged_{s1}_while_they_were_raiding_{s3}.
qstr_You_were_caught_by_{ You_were_caught_by_{s1}_while_your_forces_were_raiding_{s3}.
qstr_You_were_victorious! You_were_victorious!
qstr_Battle_was_lost._You Battle_was_lost._Your_forces_were_utterly_crushed.
qstr_Your_companions_carr Your_companions_carry_you_away_from_the_fighting.
qstr_You_have_defeated_th You_have_defeated_the_enemy.
qstr_You_have_retreated_f You_have_retreated_from_the_fight.
qstr_^^Ally_Casualties:{s ^^Ally_Casualties:{s0}
qstr_{!}{s4}_skipped_in_p {!}{s4}_skipped_in_p_total_enemy_casualties_capture_queue_because_is_friendly
qstr_{s1}_of_{s3}_managed {s1}_of_{s3}_managed_to_escape.
qstr_{!}{s17} {!}{s17}
qstr_{!}Victory_comment._ {!}Victory_comment._Player_was_alone
qstr_{!}Ordinary_victory_ {!}Ordinary_victory_comment._The_player_provided_at_least_40_percent_forces.
qstr_{!}Player_participat {!}Player_participation_comment._The_enemy_had_at_least_1k_starting_strength.
qstr_{!}No_victory_commen {!}No_victory_comment._The_battle_was_small,_and_the_player_provided_less_than_40_percent_of_allied_strength
qstr_Some_of_your_tendons Some_of_your_tendons_have_been_damaged_in_the_battle._You_lose_1_strength.
qstr_You_took_a_nasty_wou You_took_a_nasty_wound_which_will_cause_you_to_limp_slightly_even_after_it_heals._You_lose_1_agility.
qstr_You_have_trouble_thi You_have_trouble_thinking_straight_after_the_battle,_perhaps_from_a_particularly_hard_hit_to_your_head,_and_frequent_headaches_now_plague_your_existence._Your_intelligence_is_reduced_by_1.
qstr_Perhaps_I_m_getting_ Perhaps_I'm_getting_unlucky...
qstr_Retirement_is_starti Retirement_is_starting_to_sound_better_and_better.
qstr_No_matter!_I_will_pe No_matter!_I_will_persevere!
qstr_What_did_I_do_to_des What_did_I_do_to_deserve_this?
qstr_I_suppose_it_ll_make I_suppose_it'll_make_for_a_good_story,_at_least...
qstr_{s9}_wants_you_to_fo {s9}_wants_you_to_follow_his_army_until_further_notice.
qstr_{s8}_of_{s9} {s8}_of_{s9}
qstr_liege liege
qstr_former_liege former_liege
qstr_affiliate affiliate
qstr_former_companion former_companion
qstr_marshall marshall
qstr_vassal vassal
qstr__Your_own_banner_fli _Your_own_banner_flies_over_the_castle_gate.
qstr__You_see_the_banner_ _You_see_the_banner_of_your_{s11}_{s7}_over_the_castle_gate.
qstr__You_see_the_banner_o _You_see_the_banner_of_{s7}_over_the_castle_gate.
qstr__Your_own_banner_flie _Your_own_banner_flies_over_the_town_gates.
qstr__You_see_the_banner_of _You_see_the_banner_of_your_{s11}_{s7}_over_the_town_gates.
qstr__You_see_the_banner_of_ _You_see_the_banner_of_{s7}_over_the_town_gates.
qstr_The_{reg6?town_s:cas The_{reg6?town's:castle's}_food_stores_should_last_for_{reg3}_more_days.
qstr_The_{reg6?town_s:cast The_{reg6?town's:castle's}_food_stores_have_run_out_and_the_defenders_are_starving.
qstr_You_re_preparing_to_ You're_preparing_to_attack_the_walls,_the_work_should_finish_in_{reg9}_hours.
qstr_Your_forces_are_buil Your_forces_are_building_a_siege_tower._They_estimate_another_{reg9}_hours_to_complete_the_build.
qstr_You_are_ready_to_att You_are_ready_to_attack_the_walls_at_any_time.
qstr_The_siege_tower_is_b The_siege_tower_is_built_and_ready_to_make_an_assault.
qstr_As_a_last_defensive_ As_a_last_defensive_effort,_you_retreat_to_the_main_hall_of_the_keep._You_and_your_remaining_soldiers_will_put_up_a_desperate_fight_here._If_you_are_defeated,_there's_no_other_place_to_fall_back_to.
qstr_You_ve_been_driven_a You've_been_driven_away_from_the_walls._Now_the_attackers_are_pouring_into_the_streets._IF_you_can_defeat_them,_you_can_perhaps_turn_the_tide_and_save_the_day.
qstr_You_ve_breached_the_ You've_breached_the_town_walls,_but_the_stubborn_defenders_continue_to_resist_you_in_the_streets!_You'll_have_to_deal_with_them_before_you_can_attack_the_keep_at_the_heart_of_the_town.
qstr_The_town_centre_is_y The_town_centre_is_yours,_but_the_remaining_defenders_have_retreated_to_the_castle._It_must_fall_before_you_can_complete_your_victory.
qstr_The_remaining_defend The_remaining_defenders_have_retreated_to_the_castle_as_a_last_defense._You_must_go_in_and_crush_any_remaining_resistance.
qstr_However_since_you_ar However,_since_you_are_not_a_sworn_{man/follower}_of_{s9},_there_is_no_chance_he_would_recognize_you_as_the_{lord/lady}_of_this_{reg8?town:castle}.
qstr_The_enemy_has_been_f The_enemy_has_been_forced_to_retreat._The_assault_is_over,_but_the_siege_continues.
qstr_As_you_approach_you_ As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{s10}.
qstr_As_you_approach_you_a As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{king/queen}.
qstr_As_you_approach_you_ar As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{lord/lady}.
qstr_{!}Prosperity:_{reg4 {!}Prosperity:_{reg4}
qstr__This_village_and_th _This_village_and_the_surrounding_lands_belong_to_you.
qstr__You_remember_that_t _You_remember_that_this_village_and_the_surrounding_lands_belong_to_your_{s11}_{s7}.
qstr__You_remember_that_th _You_remember_that_this_village_and_the_surrounding_lands_belong_to_{s7}.
qstr__These_lands_belong_ _These_lands_belong_to_no_one.
qstr_{!}_{s3}__{reg9}_. {!}_{s3}_({reg9}).
qstr__The_village_is_infe _The_village_is_infested_by_{reg8}_{s35}.
qstr__The_peasants_hired_ _The_peasants_hired_mercenaries_and_are_rebelling_against_you.
qstr__The_village_has_bee _The_village_has_been_looted._A_handful_of_souls_scatter_as_you_pass_through_the_burnt_out_houses.
qstr__The_village_is_bein _The_village_is_being_raided.
qstr_No_one_here_seems_to No_one_here_seems_to_be_willing_to_join_your_party.
qstr_One_{s3}_volunteers_ One_{s3}_volunteers_to_follow_you.
qstr_{reg5}_{s3}_voluntee {reg5}_{s3}_volunteer_to_follow_you.
qstr_Try_as_you_might_you Try_as_you_might,_you_could_not_defeat_the_bandits._Infuriated,_they_raze_the_village_to_the_ground_to_punish_the_peasants,_and_then_leave_the_burning_wasteland_behind_to_find_greener_pastures_to_plunder.
qstr_village village
qstr_town town
qstr_castle castle
qstr_{!}{s0} {!}{s0}
qstr_{!}{s18}_{s0} {!}{s18},_{s0}
qstr_The_{s17}_has_no_imp The_{s17}_has_no_improvements.
qstr_The_{s17}_has_the_fo The_{s17}_has_the_following_improvements:{s18}.
qstr_The_assasins_beat_yo The_assasins_beat_you_down_and_leave_you_for_dead._.
qstr_You_have_fallen._The You_have_fallen._The_bandits_quickly_search_your_body_for_every_coin_they_can_find,_then_vanish_into_the_night._They_have_left_you_alive,_if_only_barely.
qstr_Luckily_some_of_your Luckily_some_of_your_companions_come_to_search_for_you_when_you_do_not_return,_and_find_you_lying_by_the_side_of_the_road._They_hurry_you_to_safety_and_dress_your_wounds.
qstr_Luckily_some_passing Luckily_some_passing_townspeople_find_you_lying_by_the_side_of_the_road,_and_recognise_you_as_something_other_than_a_simple_beggar._They_carry_you_to_the_nearest_inn_and_dress_your_wounds.
qstr_You_fail_to_steal_an You_fail_to_steal_any_cattle.
qstr_You_drive_away_{reg1 You_drive_away_{reg17}_{reg12?heads:head}_of_cattle_from_the_village's_herd.
qstr_{!}DEBUG____Prosperi {!}DEBUG_--_Prosperity:_{reg4}
qstr_You_are_at_{s2}. You_are_at_{s2}.
qstr__This_castle_has_no_ _This_castle_has_no_garrison.
qstr__The_banner_of_your_ _The_banner_of_your_{s11}_{s7}_flies_over_the_town_gates.
qstr__This_town_has_no_ga _This_town_has_no_garrison.
qstr__You_have_successful _You_have_successfully_sneaked_in.
qstr_{s13}_A_tournament_w {s13}_A_tournament_will_be_held_here_soon.
qstr_{!}DEBUG___Current_t {!}DEBUG_-_Current_town_is_{s3},_but_also_checking_{s4}
qstr___{reg1}_denars_per_ _({reg1}_denars_per_night)
qstr_Moreover_you_earn_{r Moreover,_you_earn_{reg8}_denars_from_the_clever_bets_you_placed_on_yourself...
qstr_Victory_is_yours!_Yo Victory_is_yours!_You_have_won_this_melee,_but_now_you_must_prepare_yourself_for_the_next_round._
qstr_You_have_been_bested You_have_been_bested_in_this_melee,_but_the_master_of_ceremonies_declares_a_recognition_of_your_skill_and_bravery,_allowing_you_to_take_part_in_the_next_round._
qstr_{!}{s11}^{s12} {!}{s11}^{s12}
qstr_You_were_beaten._The You_were_beaten._The_peasants_are_heartened_by_their_success,_but_the_lesson_you_wanted_to_teach_them_probably_didn't_get_through...
qstr_After_beating_your_l After_beating_your_last_opponent,_you_explain_to_the_peasants_how_to_better_defend_themselves_against_such_an_attack._Hopefully_they'll_take_the_experience_on_board_and_will_be_prepared_next_time.
qstr_The_bandits_are_brok The_bandits_are_broken!_Those_few_who_remain_alive_and_conscious_run_off_with_their_tails_between_their_legs,_terrified_of_the_peasants_and_their_new_champion.
qstr_{s1}_s_Ship {s1}'s_Ship
qstr_{!}DEBUG___{s1} {!}DEBUG_-_{s1}
qstr_However_{reg3?You_ar However,_{reg3?You_are:{s1}_is}_unable_to_find_any_trade_goods_that_would_bring_a_profit.
qstr_^Buying_{s4}_here_an ^Buying_{s4}_here_and_selling_it_at_{s5}_would_bring_a_profit_of_{reg6}_denars_per_item.{s3}
qstr_{reg3?You_find:{s1}_ {reg3?You_find:{s1}_finds}_out_the_following:^{s3}
qstr_{s2}^{reg1}_{s1}_ear {s2}^{reg1}_{s1}_earned_{reg0}_experience.
qstr_{s2}^{s1}_earned_an_ {s2}^{s1}_earned_an_additional_{reg0}_experience.
qstr_^You_earned_{reg0}_e ^You_earned_{reg0}_experience.{s2}
qstr_The_training_didn_t_ The_training_didn't_go_well_at_all.
qstr_The_training_didn_t_g The_training_didn't_go_very_well.
qstr_The_training_went_qu The_training_went_quite_well.
qstr_The_training_went_ve The_training_went_very_well.
qstr_The_training_went_pe The_training_went_perfectly.
qstr_{s13}_asked_you_to_r {s13}_asked_you_to_report_to_him_with_at_least_{reg13}_troops.
qstr_{s13}_ordered_you_to {s13}_ordered_you_to_join_the_assault_against_{s14}.
qstr_Find_and_speak_with_ Find_and_speak_with_{s3}_of_{s4}_to_give_him_your_oath_of_homage.
qstr_There_has_been_an_al There_has_been_an_alleged_border_incident:_{s9}
qstr_{!}{s11}{s12} {!}{s11}{s12}
qstr_{!}DEBUG____Hours_si {!}DEBUG_--_Hours_since_last_feast_started:_{reg4}
qstr_^^Note_that_so_long_ ^^Note_that_so_long_as_you_remain_marshal,_the_lords_of_the_realm_will_be_expecting_you_to_lead_them_on_campaign._So,_if_you_are_awaiting_a_feast,_either_for_a_wedding_or_for_other_purposes,_you_may_wish_to_resign_the_marshalship_by_speaking_to_your_liege.
qstr_Try_as_you_might_you_ Try_as_you_might,_you_could_not_defeat_the_rebelling_village.
qstr_positive positive
qstr_negative negative
qstr_{s11}^^_The_current_ {s11}^^_The_current_garrison_consists_of_{reg5}_men.^The_food_stock_lasts_for_{reg6}_days.
qstr_^^Additional_the_fol ^^Additional_the_following_parties_are_currently_inside:^
qstr_{s12}_{s3}_with_{reg {s12}_{s3}_with_{reg1}_troops.^
qstr_{playername}_^^I_alw {playername},_^^I_always_knew_you_were_a_bad_egg,_since_the_day_you_have_pledged_allegiance_to_my_clan._^Did_you_really_think_you_could_set_my_family_against_me?_You've_dropped_your_mask,_you_snake!_You_are_an_infliction,_and_I_will_not_bear_it_anymore._^Hereby,_I_disown_and_ban_you_from_my_house._I_have_urged_my_family_to_fight_you,_and_I_will_warn_Calradia_lords_about_your_infamy._^Tremble_with_fear,_you_have_a_deadly_enemy!_^^{s9}.
